"filename"	"CT_General"	"CT_Subtype"	"BTO"	"factor"	"factorGeneID"	"GSE"	"GSM"	"exp_type"
"CTCF_GSM546526_Pro-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag1-/-)"	"BTO:0003104"	"Ctcf"	13018	"GSE21978"	"GSM546526"	"tf"
"CTCF_GSM644975_Pro-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag1-/-)"	"BTO:0003104"	"Ctcf"	13018	"GSE26257  "	"GSM644975"	"tf"
"CTCF_GSM672400_DP-T-Cells"	"T-Cells"	"[PC] DP T-Cells"	"BTO:0000782"	"Ctcf"	13018	"GSE27214"	"GSM672400"	"tf"
"CTCF_GSM672401_Rag2--_Pro-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag2-/-)"	"BTO:0003104"	"Ctcf"	13018	"GSE27214"	"GSM672401"	"tf"
"CTCF_GSM672402_Mature-B-Cells"	"B-Cells"	"[PC] Mature-B-Cells"	"BTO:0000776"	"Ctcf"	13018	"GSE27214"	"GSM672402"	"tf"
"E2A_GSM546517_Pre-Pro-B-Cells"	"B-Cells"	"[PC] Pre-Pro-B-Cells (EBF-/-)"	"BTO:0001133"	"Tcf3"	21423	"GSE21978"	"GSM546517"	"tf"
"E2A_GSM546523_Pro-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag1-/-)"	"BTO:0003104"	"Tcf3"	21423	"GSE21978"	"GSM546523"	"tf"
"EBF_GSM499030_Pro-B-Cells"	"B-Cells"	"[CL] 38B9 Pro-B-Cells"	"BTO:0003104"	"Ebf1"	13591	"GSE19971"	"GSM499030"	"tf"
"EBF1_GSE35857_B-Cells"	"B-Cells"	"[PC] B-Cells (Rag2-/-)"	"BTO:0000776"	"Ebf1"	13591	"GSE35857"	"GSM876622-3"	"tf"
"FoxO1_GSM546525_Pro-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag1-/-)"	"BTO:0003104"	"Foxo1"	56458	"GSE21978"	"GSM546525"	"tf"
"FoxO1_GSM860926_Pre-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (IRF-4,8-/-)"	"BTO:0003104"	"Foxo1"	56458	"GSE35024"	"GSM860926"	"tf"
"Oct2_GSM537990_B-Cells"	"B-Cells"	"[PC] B-Cells"	"BTO:0000776"	"Pou2f2"	18987	"GSE21512"	"GSM537990"	"tf"
"Pax5_GSM860927_Pre-B-Cells"	"B-Cells"	"[PC] Pre-B-Cells (IRF-4,8-/-)"	"BTO:0001133"	"Pax5"	18507	"GSE35024"	"GSM860927"	"tf"
"PU1_GSM537989_B-Cells"	"B-Cells"	"[PC] B-Cells"	"BTO:0000776"	"Sfpi1"	20375	"GSE21512"	"GSM537989"	"tf"
"PU1_GSM539537_Pro-B-Cells"	"B-Cells"	"[CL] 38B9 Pro-B-Cells "	"BTO:0003104"	"Sfpi1"	20375	"GSE21614"	"GSM539537-8"	"tf"
"Rad21_GSM644976_Pro-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag1-/-)"	"BTO:0003104"	"Rad21"	19357	"GSE26257  "	"GSM644976"	"tf"
"Rad21_GSM672403_Pro-B-Cells"	"B-Cells"	"[PC] Pro-B-Cells (Rag2-/-)"	"BTO:0003104"	"Rad21"	19357	"GSE27214"	"GSM627403"	"tf"
"Smad3_GSM539545_Pro-B-Cells"	"B-Cells"	"[CL] 38B9 Pro-B-Cells "	"BTO:0003104"	"Smad3"	17127	"GSE21614"	"GSM539545"	"tf"
"Gata2_GSM641911_HPC"	"Haematopoietic Progenitor Cells"	"[PC] HPC"	"BTO:0000725"	"Gata2"	14461	"GSE26031"	"GSM641911"	"tf"
"Ldb1_GSM641909_HPC"	"Haematopoietic Progenitor Cells"	"[PC] HPC"	"BTO:0000725"	"Ldb1"	16825	"GSE26031"	"GSM641909"	"tf"
"Scl_GSM641910_HPC"	"Haematopoietic Progenitor Cells"	"[PC] HPC"	"BTO:0000725"	"Tal1"	21349	"GSE26031"	"GSM641910"	"tf"
"Fli1_GSM552233_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Fli1"	14247	"GSE22178"	"GSM552233"	"tf"
"Gata2_GSM552234_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Gata2"	14461	"GSE22178"	"GSM552234  "	"tf"
"Gfi1b_GSM552235_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Gfi1b"	14582	"GSE22178"	"GSM552235"	"tf"
"Lmo2_GSM552237_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Lmo2"	16909	"GSE22178"	"GSM552237"	"tf"
"Lyl1_GSM552238_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Lyl1"	17095	"GSE22178"	"GSM552238"	"tf"
"Meis1_GSM552239_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Meis1"	17268	"GSE22178"	"GSM552239"	"tf"
"PU1_GSM552240_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Sfpi1"	20375	"GSE22178"	"GSM552240"	"tf"
"Runx1_GSM552241_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Runx1"	12394	"GSE22178"	"GSM552241"	"tf"
"Scl_GSM552242_MPP_HPC7"	"Multipotent myeloid progenitor"	"[CL] HPC-7"	"BTO:0000906"	"Tal1"	21349	"GSE22178"	"GSM552242"	"tf"
"AF9_GSM721212_MLL"	"Leukaemia"	"[PCL] MLL AF9 blasts"	""	"Mllt3"	70122	"GSE29130"	"GSM721212"	"tf"
"AF9_GSM846042_MLL"	"Leukaemia"	"[PCL] MLL AF9 blasts"	""	"Mllt3"	70122	"GSE34261"	"GSM846042"	"tf"
"Gfi1_GSM786037_MLL-ENL-Preleukemia"	"Leukaemia"	"[PCL] MLL ENL blasts"	""	"Gfi1"	14581	"GSE31657"	"GSM786037"	"tf"
"Notch1_GSM732913_T6E_Leukaemia"	"Leukaemia"	"[CL] T6E T Lymphocyte"	""	"Notch1"	18128	"GSE29600"	"GSM732913"	"tf"
"Notch1_GSM732916_G4A2_Leukaemia"	"Leukaemia"	"[CL] G4A2 T Lymphocyte"	""	"Notch1"	18128	"GSE29600"	"GSM732916"	"tf"
"Notch1_GSM859512_T-ALL"	"Leukaemia"	"[PC] T-ALL"	""	"Notch1"	18128	"GSE34954"	"GSM859512"	"tf"
"RBPJ_GSM732914_T6E_Leukaemia"	"Leukaemia"	"[CL] T6E T Lymphocyte"	""	"Rbpj"	19664	"GSE29600"	"GSM732914"	"tf"
"RBPJ_GSM732917_G4A2_Leukaemia"	"Leukaemia"	"[CL] G4A2 T Lymphocyte"	""	"Rbpj"	19664	"GSE29600"	"GSM732917"	"tf"
"Fli1_GSM989023_c-Kit+"	"Hemogenic endothelium"	"[CL] E14 ES"	""	"Fli1"	14247	"GSE40235"	"GSM989023"	"tf"
"Scl_GSM989024_c-Kit+"	"Hemogenic endothelium"	"[CL] E14 ES"	""	"Tal1"	21349	"GSE40235"	"GSM989024  "	"tf"
"HoxB4_GSM840466_day6_ES-Cells"	"Embryonic Stem Cells"	"[CL] CCE ES"	"BTO:0001086"	"Hoxb4"	15412	"GSE34014"	"GSM840466"	"tf"
"HoxB4_GSM840468_day16_ES-Cells"	"Embryonic Stem Cells"	"[CL] CCE ES"	"BTO:0001086"	"Hoxb4"	15412	"GSE34014"	"GSM840468"	"tf"
"HoxB4_GSM840470_day26_ES-Cells"	"Embryonic Stem Cells"	"[CL] CCE ES"	"BTO:0001086"	"Hoxb4"	15412	"GSE34014"	"GSM840470"	"tf"
"Runx1_In-house_ES-Cells"	"Embryonic Stem Cells"	"[CL] CCE ES Runx1(Venus/+)"	"BTO:0001086"	"Runx1"	12394	"GSE29515"	"GSM730630"	"tf"
"Runx1_GSE31221_EML"	"Hematopoietic progenitors"	"[CL] EML lympho-hematopoietic progenitor"	""	"Runx1"	12394	"GSE31221"	"GSM773995-6"	"tf"
"TCF7_GSM773994_EML"	"Hematopoietic progenitors"	"[CL] EML lympho-hematopoietic progenitor"	""	"Tcf7"	21414	"GSE31221"	"GSM773994"	"tf"
"CTCF_GSM923570_G1E_Erythroid"	"Erythroid"	"[CL] G1E"	"BTO:0002731"	"Ctcf"	13018	"GSE36029"	"GSM923570"	"tf"
"CTCF_GSM923571_G1E-ER4_Erythroid"	"Erythroid"	"[CL] G1E-ER4"	"BTO:0002731"	"Ctcf"	13018	"GSE36029"	"GSM923571  "	"tf"
"CTCF_GSM923573_MEL"	"Mouse ErythroLeukaemic"	"[CL] MEL"	"BTO:0002731"	"Ctcf"	13018	"GSE36029"	"GSM923573"	"tf"
"Eto2_ERA000161_Induced_Erythroid_MEL"	"Mouse ErythroLeukaemic"	"[CL] C88 MEL"	"BTO:0002731"	"Cbfa2t3"	12398	"ERA000161"	"ERX002126"	"tf"
"Eto2_ERA000161_Uninduced_Erythroid_MEL"	"Mouse ErythroLeukaemic"	"[CL] C88 MEL"	"BTO:0002731"	"Cbfa2t3"	12398	"ERA000161"	"ERX002124"	"tf"
"Gata1_ERA000161_Induced_Erythroid_MEL"	"Mouse ErythroLeukaemic"	"[CL] C88 MEL"	"BTO:0002731"	"Gata1"	14460	"ERA000161"	"ERX002130"	"tf"
"Gata1_ERA000161_Uninduced_Erythroid_MEL"	"Mouse ErythroLeukaemic"	"[CL] C88 MEL"	"BTO:0002731"	"Gata1"	14460	"ERA000161"	"ERX002128"	"tf"
"Gata1_GSE30142_TER119_Erythroid"	"Erythroid"	"[PC] Erythroblast"	"BTO:0002731"	"Gata1"	14460	"GSE30142"	"GSM746581-2"	"tf"
"Gata1_GSM453997_G1E_ER4_Erythroid"	"Erythroid"	"[CL] G1E-ER4"	"BTO:0002731"	"Gata1"	14460	"GSE18164"	"GSM453997"	"tf"
"Gata1_GSM746568_ER4_Erythroid"	"Erythroid"	"[CL] G1E-ER4"	"BTO:0002731"	"Gata1"	14460	"GSE30142"	"GSM746568"	"tf"
"Gata1_GSM923572_G1E-ER4_Erythroid"	"Erythroid"	"[CL] G1E-ER4"	"BTO:0002731"	"Gata1"	14460	"GSE36029"	"GSM923572"	"tf"
"Gata1_GSM923575_Erythroblast"	"Erythroid"	"[PC] Erythroblast"	"BTO:0002731"	"Gata1"	14460	"GSE36029"	"GSM923575"	"tf"
"Ldb1_ERA000161_Induced_Erythroid_MEL"	"Mouse ErythroLeukaemic"	"[CL] C88 MEL"	"BTO:0002731"	"Ldb1"	16825	"ERA000161"	"ERX002134"	"tf"
"Ldb1_ERA000161_Uninduced_Erythroid_MEL"	"Mouse ErythroLeukaemic "	"[CL] C88 MEL"	"BTO:0002731"	"Ldb1"	16825	"ERA000161"	"ERX002132"	"tf"
"Mtgr1_ERA000161_Induced_Erythroid_MEL"	"Mouse ErythroLeukaemic "	"[CL] C88 MEL"	"BTO:0002731"	"Cbfa2t2"	12396	"ERA000161"	"ERX002140"	"tf"
"Mtgr1_ERA000161_Uninduced_Erythroid_MEL"	"Mouse ErythroLeukaemic "	"[CL] C88 MEL"	"BTO:0002731"	"Cbfa2t2"	12396	"ERA000161"	"ERX002142"	"tf"
"Scl_ERA000161_Induced_Erythroid_MEL"	"Mouse ErythroLeukaemic "	"[CL] C88 MEL"	"BTO:0002731"	"Tal1"	21349	"ERA000161"	"ERX002138"	"tf"
"Scl_ERA000161_Uninduced_Erythroid_MEL"	"Mouse ErythroLeukaemic "	"[CL] C88 MEL"	"BTO:0002731"	"Tal1"	21349	"ERA000161"	"ERX002136"	"tf"
"Scl_GSE30142_ER4_Erythroid"	"Erythroid"	"[CL] G1E-ER4"	"BTO:0002731"	"Tal1"	21349	"GSE30142"	"GSM746571-2"	"tf"
"Scl_GSE30142_G1E_Erythroid"	"Erythroid"	"[CL] G1E"	"BTO:0002731"	"Tal1"	21349	"GSE30142"	"GSM746555-6"	"tf"
"Scl_GSE30142_TER119_Erythroid"	"Erythroid"	"[PC] Erythroblast"	"BTO:0002731"	"Tal1"	21349	"GSE30142"	"GSM746583-4"	"tf"
"Scl_GSM464634_WT_FL-Erythroid"	"Erythroid"	"[PC] Erythroblast"	"BTO:0002731"	"Tal1"	21349	"GSE18720"	"GSM464634"	"tf"
"Scl_GSM464636_RER_FL-Erythroid"	"Erythroid"	"[PC] Erythroblast RER"	"BTO:0002731"	"Tal1"	21349	"GSE18720"	"GSM464636"	"tf"
"Scl_GSM923576_G1E-ER4_Erythroid"	"Erythroid"	"[CL] G1E-ER4"	"BTO:0002731"	"Tal1"	21349	"GSE36029"	"GSM923576"	"tf"
"Scl_GSM923578_MEL"	"Mouse ErythroLeukaemic "	"[CL] MEL"	"BTO:0002731"	"Tal1"	21349	"GSE36029"	"GSM923578"	"tf"
"Scl_GSM923579_G1E_Erythroid"	"Erythroid"	"[CL] G1E"	"BTO:0002731"	"Tal1"	21349	"GSE36029"	"GSM923579  "	"tf"
"Scl_GSM923582_Erythroblast"	"Erythroid"	"[PC] Erythroblast"	"BTO:0002731"	"Tal1"	21349	"GSE36029"	"GSM923582"	"tf"
"Gata1_GSM722390_G1ERbmp_Erythroid-Prog"	"Erythroid Progenitors"	"[CL] G1ER"	"BTO:0004911"	"Gata1"	14460	"GSE29193"	"GSM722390"	"tf"
"Gata1_GSM867156_Proliferating_ES-Erythroid-Prog"	"Erythroid Progenitors"	"[CL] ES EP"	"BTO:0004911"	"Gata1"	14460	"GSE35385"	"GSM867156-7"	"tf"
"Gata1_GSM867158_Differentiating_ES-Erythroid-Prog"	"Erythroid Progenitors"	"[CL] ES EP"	"BTO:0004911"	"Gata1"	14460	"GSE35385"	"GSM867158-60"	"tf"
"Gata2_GSM722387_G1Ebmp_Erythroid-Prog"	"Erythroid Progenitors"	"[CL] G1E "	"BTO:0004911"	"Gata2"	14461	"GSE29193"	"GSM722387"	"tf"
"PU1_GSE21953_ES-Erythroid-Prog"	"Erythroid Progenitors"	"[CL] ES EP"	"BTO:0004911"	"Sfpi1"	20375	"GSE21953"	"GSM545888-91"	"tf"
"PU1_GSE21953_MEL_Erythroid"	"Erythroid Progenitors"	"[CL] MEL (Gata1/ER)"	"BTO:0004911"	"Sfpi1"	20375	"GSE21953"	"GSM545882-5"	"tf"
